p_min,p_max,cosTheta_min,cosTheta_max,charge_min,charge_max,data_MC_ratio,data_MC_uncertainty_stat_up,data_MC_uncertainty_stat_dn,data_MC_uncertainty_sys_up,data_MC_uncertainty_sys_dn,data_efficiency,data_uncertainty_stat_up,data_uncertainty_stat_dn,data_uncertainty_sys_up,data_uncertainty_sys_dn,MC_efficiency,MC_uncertainty_stat_up,MC_uncertainty_stat_dn,MC_uncertainty_sys_up,MC_uncertainty_sys_dn,threshold,variable
0.3,0.5,-0.866,-0.4226,-2,0,0.0,1.0,1.0,1.0,1.0,-0.00016853093521812884,0.0008477602339555032,0.0008477602339555032,0.0007272960001622343,0.0007272960001622343,0.0009224908407452796,0.0002715216301815339,0.0002715216301815339,0.0005578561189401232,0.0005578561189401232,0.9,electronIDNN
0.3,0.5,-0.866,-0.4226,0,2,0.9910160536098914,0.8091889601077713,0.8091889601077713,1.1197928700381738,1.1197928700381738,0.0011298356719276128,0.0008735614568446776,0.0008735614568446776,0.0006242115557503491,0.0006242115557503491,0.0011400780722088757,0.00027215684010528353,0.00027215684010528353,0.0005497851119989937,0.0005497851119989937,0.9,electronIDNN
0.3,0.5,-0.4226,-0.1045,-2,0,0.0,1.0,1.0,1.0,1.0,0.000662279642254184,0.000811709306817446,0.000811709306817446,0.0006111167740739972,0.0006111167740739972,-0.0001217853974673541,0.00028257246219313064,0.00028257246219313064,0.0001217853974673541,0.0001217853974673541,0.9,electronIDNN
0.3,0.5,-0.4226,-0.1045,0,2,0.0,1.0,1.0,1.0,1.0,-5.5358938713088476e-05,0.0006798353564421349,0.0006798353564421349,0.0005713308644691888,0.0005713308644691888,0.0006671990250162985,0.0002928760437868758,0.0002928760437868758,0.0006128674393489708,0.0006128674393489708,0.9,electronIDNN
0.3,0.5,-0.1045,0.225,-2,0,0.0,1.0,1.0,1.0,1.0,-2.1510233082181684e-05,0.0008819979475369271,0.0008819979475369271,0.0008445782241495517,0.0008445782241495517,0.0007323812506658763,0.00031037913980108705,0.00031037913980108705,0.0007091637725483495,0.0007091637725483495,0.9,electronIDNN
0.3,0.5,-0.1045,0.225,0,2,0.43634284949787006,2.569969656036421,2.569969656036421,2.02001056970816,2.02001056970816,0.00033267057979378343,0.0008427208938861765,0.0008427208938861765,0.0004449634259952432,0.0004449634259952432,0.0007624063971177951,0.00033025939096838517,0.00033025939096838517,0.000646908949611385,0.000646908949611385,0.9,electronIDNN
0.3,0.5,0.225,0.5,-2,0,0.817490820215877,0.9937568582929568,0.9937568582929568,1.5145777666232891,1.5145777666232891,0.0009414813374921545,0.0008857159751301022,0.0008857159751301022,0.0006208926693579237,0.0006208926693579237,0.0011516720606642836,0.00036872817271947845,0.00036872817271947845,0.0009022955020607923,0.0009022955020607923,0.9,electronIDNN
0.3,0.5,0.225,0.5,0,2,0.4438277440855265,2.31863145052139,2.31863145052139,2.1880032511452265,2.1880032511452265,0.0003936731561471332,0.0008989832080376067,0.0008989832080376067,0.0010854690372211892,0.0010854690372211892,0.0008869953746543424,0.00035626428168439637,0.00035626428168439637,0.0006897713034564527,0.0006897713034564527,0.9,electronIDNN
0.3,0.5,0.5,0.766,-2,0,0.0,1.0,1.0,1.0,1.0,-0.0012202566187845534,0.0012544157785830917,0.0012544157785830917,0.0010838361856225043,0.0010838361856225043,0.0014449799758158672,0.0004272970545051859,0.0004272970545051859,0.0009315985780792096,0.0009315985780792096,0.9,electronIDNN
0.3,0.5,0.5,0.766,0,2,0.0,1.0,1.0,1.0,1.0,-0.00031671252306662525,0.0013507945371356474,0.0013507945371356474,0.001690718650311952,0.001690718650311952,0.0008874162652085641,0.0004204564184091971,0.0004204564184091971,0.0005555945640693097,0.0005555945640693097,0.9,electronIDNN
0.3,0.5,0.766,0.9563,-2,0,0.0,1.0,1.0,1.0,1.0,-0.000528885437413667,0.0018662266852404442,0.0018662266852404442,0.0025013655089611165,0.0025013655089611165,0.0017763047295691202,0.0005868875791445531,0.0005868875791445531,0.0015409552355705324,0.0015409552355705324,0.9,electronIDNN
0.3,0.5,0.766,0.9563,0,2,29.140418070156432,1.9565550496191493,1.9565550496191493,72.37500746527833,72.37500746527833,0.007886931013914696,0.0028398452696580716,0.0028398452696580716,0.003559494863624304,0.003559494863624304,0.00027065263768442417,0.0005205022084512171,0.0005205022084512171,1.7637541116995647e-05,1.7637541116995647e-05,0.9,electronIDNN
0.5,1.2,-0.866,-0.4226,-2,0,2.025588647709812,0.07161504601841133,0.07161504601841133,0.02597030522731325,0.02597030522731325,0.006645062829414594,0.0003936262178591349,0.0003936262178591349,3.812443529164697e-05,3.812443529164697e-05,0.0032805588819465837,0.00013203277629615044,0.00013203277629615044,9.260585424246317e-05,9.260585424246317e-05,0.9,electronIDNN
0.5,1.2,-0.866,-0.4226,0,2,2.0962509457911715,0.07447147288200265,0.07447147288200265,0.037068843338202484,0.037068843338202484,0.006533167179257259,0.0004046619373933234,0.0004046619373933234,6.97451658236781e-05,6.97451658236781e-05,0.0031165959363665292,0.0001288584431595933,0.0001288584431595933,5.26259066279968e-05,5.26259066279968e-05,0.9,electronIDNN
0.5,1.2,-0.4226,-0.1045,-2,0,0.8264469939694035,0.40359469280882004,0.40359469280882004,0.2383480496357877,0.2383480496357877,0.0004253844583200397,0.00016160355854309732,0.00016160355854309732,6.675359317205273e-05,6.675359317205273e-05,0.0005147147505212998,7.013101525839395e-05,7.013101525839395e-05,0.0001274289504393524,0.0001274289504393524,0.9,electronIDNN
0.5,1.2,-0.4226,-0.1045,0,2,2.0730001992454827,0.38737891935005875,0.38737891935005875,0.39048908183973285,0.39048908183973285,0.0005877141249247355,0.00017868461911620676,0.00017868461911620676,4.128133851930287e-05,4.128133851930287e-05,0.0002835089572777889,6.80576387791914e-05,6.80576387791914e-05,3.9186740679037825e-05,3.9186740679037825e-05,0.9,electronIDNN
0.5,1.2,-0.1045,0.225,-2,0,0.8925928315034488,0.3572387003802631,0.3572387003802631,0.10587909802501627,0.10587909802501627,0.0004635701916834199,0.0001553829889540822,0.0001553829889540822,4.247374458127561e-05,4.247374458127561e-05,0.0005193523578971615,6.417469804905298e-05,6.417469804905298e-05,4.1298732347747925e-05,4.1298732347747925e-05,0.9,electronIDNN
0.5,1.2,-0.1045,0.225,0,2,1.1847381244894293,0.3458020234476609,0.3458020234476609,0.16960895279555244,0.16960895279555244,0.0005420579996549811,0.00017141515719441163,0.00017141515719441163,2.453062337140412e-05,2.453062337140412e-05,0.00045753402245629984,6.401789579278292e-05,6.401789579278292e-05,4.384798691648605e-05,4.384798691648605e-05,0.9,electronIDNN
0.5,1.2,0.225,0.5,-2,0,1.2294219173903391,0.25097362077980734,0.25097362077980734,0.11729572815338196,0.11729572815338196,0.0008923663104297225,0.00020346654847946724,0.00020346654847946724,2.6466672371770945e-05,2.6466672371770945e-05,0.00072584220096216,7.612754696649945e-05,7.612754696649945e-05,0.00015667651104169845,0.00015667651104169845,0.9,electronIDNN
0.5,1.2,0.225,0.5,0,2,1.2714295942740712,0.25149350874129917,0.25149350874129917,0.21900922820305602,0.21900922820305602,0.0008299100081521895,0.0001870380225599019,0.0001870380225599019,2.0848003030498447e-05,2.0848003030498447e-05,0.0006527376835412036,7.28517663156895e-05,7.28517663156895e-05,0.00012024865713262619,0.00012024865713262619,0.9,electronIDNN
0.5,1.2,0.5,0.766,-2,0,0.7921097049125966,0.35463991834071384,0.35463991834071384,0.26549815484646666,0.26549815484646666,0.0005530200760012966,0.00018606095924991324,0.00018606095924991324,9.346779628927179e-05,9.346779628927179e-05,0.0006981609650424852,7.8287749626041e-05,7.8287749626041e-05,0.00017390419792624365,0.00017390419792624365,0.9,electronIDNN
0.5,1.2,0.5,0.766,0,2,1.1256911341858513,0.28414292113264866,0.28414292113264866,0.30431437607408807,0.30431437607408807,0.000840625334303828,0.00022239270935797212,0.00022239270935797212,0.00012671763363021767,0.00012671763363021767,0.0007467637514190823,7.741594165368072e-05,7.741594165368072e-05,0.00018877173951525273,0.00018877173951525273,0.9,electronIDNN
0.5,1.2,0.766,0.9563,-2,0,3.2008881666161293,0.1585205849129977,0.1585205849129977,0.29617446176969286,0.29617446176969286,0.003540475883372182,0.00040921370600847956,0.00040921370600847956,0.00017329381324819116,0.00017329381324819116,0.0011060917155112774,0.00011999785122150365,0.00011999785122150365,0.0002446034783882595,0.0002446034783882595,0.9,electronIDNN
0.5,1.2,0.766,0.9563,0,2,3.678225180613045,0.18828032713969564,0.18828032713969564,0.3007870280359599,0.3007870280359599,0.0029982508927209744,0.00041603848509600024,0.00041603848509600024,0.0002891160619402566,0.0002891160619402566,0.00081513522024806,0.00010373387154138486,0.00010373387154138486,2.3941764103227936e-05,2.3941764103227936e-05,0.9,electronIDNN
1.2,1.5,-0.866,-0.4226,-2,0,1.2966160248768999,0.27510021711698096,0.27510021711698096,0.14921054371365527,0.14921054371365527,0.0011458185245513176,0.00027819515669355376,0.00027819515669355376,9.438357653418169e-05,9.438357653418169e-05,0.0008836991850845751,0.000114309657343427,0.000114309657343427,5.914718238551095e-05,5.914718238551095e-05,0.9,electronIDNN
1.2,1.5,-0.866,-0.4226,0,2,1.9226356639957896,0.22952122317630386,0.22952122317630386,0.4425030060412598,0.4425030060412598,0.0018137343067596646,0.00034878068070523765,0.00034878068070523765,6.556460138008174e-05,6.556460138008174e-05,0.0009433582975311107,0.00011820543847785599,0.00011820543847785599,1.3386898538287283e-05,1.3386898538287283e-05,0.9,electronIDNN
1.2,1.5,-0.4226,-0.1045,-2,0,2.594731444643681,0.6766499606145453,0.6766499606145453,1.4874098477362154,1.4874098477362154,0.00045370219057390193,0.00019203666640213888,0.00019203666640213888,3.9060488852736823e-05,3.9060488852736823e-05,0.00017485516333895826,9.23098061128212e-05,9.23098061128212e-05,7.293106281914535e-05,7.293106281914535e-05,0.9,electronIDNN
1.2,1.5,-0.4226,-0.1045,0,2,4.220628276544885,0.6574553765397994,0.6574553765397994,6.190806598616526,6.190806598616526,0.000627875387468177,0.00020746221499221107,0.00020746221499221107,9.676009812307725e-05,9.676009812307725e-05,0.00014876348882877027,8.455612351788801e-05,8.455612351788801e-05,6.770838293606407e-05,6.770838293606407e-05,0.9,electronIDNN
1.2,1.5,-0.1045,0.225,-2,0,0.0,1.0,1.0,1.0,1.0,-0.00011663672146220137,0.00015700308687189023,0.00015700308687189023,8.918204001362592e-05,8.918204001362592e-05,0.00012175118825830954,7.298050940856325e-05,7.298050940856325e-05,5.616161934370246e-06,5.616161934370246e-06,0.9,electronIDNN
1.2,1.5,-0.1045,0.225,0,2,1.0623896523759377,0.9465112526833311,0.9465112526833311,0.528951722461396,0.528951722461396,0.0002292599495358757,0.00020506037857188404,0.00020506037857188404,6.648100889754873e-05,6.648100889754873e-05,0.0002157964820375996,6.681052882720145e-05,6.681052882720145e-05,0.00013791865288208732,0.00013791865288208732,0.9,electronIDNN
1.2,1.5,0.225,0.5,-2,0,0.0,1.0,1.0,1.0,1.0,-3.684974471717751e-06,0.00014701423436904888,0.00014701423436904888,5.21233506420204e-05,5.21233506420204e-05,0.00020950982068534534,7.25166682143038e-05,7.25166682143038e-05,0.0001278163142979343,0.0001278163142979343,0.9,electronIDNN
1.2,1.5,0.225,0.5,0,2,3.6441377653981872,1.0194586466377564,1.0194586466377564,10.726730560109303,10.726730560109303,0.0002838903787253655,0.0001782991290473839,0.0001782991290473839,3.0323486391254165e-05,3.0323486391254165e-05,7.790330580280501e-05,6.255791981132521e-05,6.255791981132521e-05,6.346955176686942e-06,6.346955176686942e-06,0.9,electronIDNN
1.2,1.5,0.5,0.766,-2,0,1.6696928593490257,1.8973586017041295,1.8973586017041295,0.11812628234123324,0.11812628234123324,9.88954384885771e-05,0.00016010988560734944,0.00016010988560734944,1.4172597890130362e-05,1.4172597890130362e-05,5.922971876823748e-05,5.860057263526866e-05,5.860057263526866e-05,1.6399039152428678e-05,1.6399039152428678e-05,0.9,electronIDNN
1.2,1.5,0.5,0.766,0,2,10.553900304625488,1.7618221491701367,1.7618221491701367,167.37225228430512,167.37225228430512,0.00028395434972348265,0.00017220393238986782,0.00017220393238986782,5.880225405549171e-05,5.880225405549171e-05,2.6905157479934994e-05,4.450536339591393e-05,4.450536339591393e-05,1.6252240178532003e-05,1.6252240178532003e-05,0.9,electronIDNN
1.2,1.5,0.766,0.9563,-2,0,1.206698623781357,1.0713911316630107,1.0713911316630107,1.06425265712106,1.06425265712106,0.0002614908714179433,0.0002656247024120427,0.0002656247024120427,0.000114573274978505,0.000114573274978505,0.00021669940303613297,7.380886009038353e-05,7.380886009038353e-05,7.539259770038799e-05,7.539259770038799e-05,0.9,electronIDNN
1.2,1.5,0.766,0.9563,0,2,3.5379934802763406,0.8802197047757738,0.8802197047757738,4.49509000885318,4.49509000885318,0.00043694204975864816,0.0002661346394116678,0.0002661346394116678,0.0001666737132578941,0.0001666737132578941,0.00012349995900063675,7.847863894731973e-05,7.847863894731973e-05,3.3223461787753087e-07,3.3223461787753087e-07,0.9,electronIDNN
1.5,1.8,-0.866,-0.4226,-2,0,1.8137063570080616,0.3336191554101156,0.3336191554101156,0.3098747518025502,0.3098747518025502,0.0010029263995425268,0.0002847300599470267,0.0002847300599470267,3.1206740111033426e-06,3.1206740111033426e-06,0.0005529706590415115,9.68929455804962e-05,9.68929455804962e-05,5.940296065913987e-05,5.940296065913987e-05,0.9,electronIDNN
1.5,1.8,-0.866,-0.4226,0,2,0.7365707621056277,0.5273659124351079,0.5273659124351079,0.36102145296426125,0.36102145296426125,0.00046015912946815383,0.00023088533801425727,0.00023088533801425727,0.00011086485964399354,0.00011086485964399354,0.0006247317340600127,0.0001014312412651108,0.0001014312412651108,9.507921821056233e-05,9.507921821056233e-05,0.9,electronIDNN
1.5,1.8,-0.4226,-0.1045,-2,0,0.27367013319796185,3.0885104377855126,3.0885104377855126,0.7479960481402341,0.7479960481402341,5.7523263610105564e-05,0.00017553494268622138,0.00017553494268622138,9.012964136150957e-05,9.012964136150957e-05,0.00021019196701488639,0.00010013559676633245,0.00010013559676633245,0.00015576723641730285,0.00015576723641730285,0.9,electronIDNN
1.5,1.8,-0.4226,-0.1045,0,2,2.910517815364053,0.5412493058448881,0.5412493058448881,3.4735212434255125,3.4735212434255125,0.000675544751825066,0.00025989840995998143,0.00025989840995998143,1.763271494283525e-05,1.763271494283525e-05,0.00023210466132830303,8.836395648388338e-05,8.836395648388338e-05,0.00019897379440395185,0.00019897379440395185,0.9,electronIDNN
1.5,1.8,-0.1045,0.225,-2,0,1.0210653657552864,0.9409078662443584,0.9409078662443584,3.4542441085793065,3.4542441085793065,0.00020849498654491183,0.00017840643420088617,0.00017840643420088617,2.0907837520659482e-05,2.0907837520659482e-05,0.00020419357421910713,7.989880781736599e-05,7.989880781736599e-05,0.00011704254147936916,0.00011704254147936916,0.9,electronIDNN
1.5,1.8,-0.1045,0.225,0,2,0.0,1.0,1.0,1.0,1.0,-0.00010187144281075101,0.00017865412424745706,0.00017865412424745706,0.00013756604174196656,0.00013756604174196656,0.00018225328383572286,7.673974285630416e-05,7.673974285630416e-05,0.00014312659160628394,0.00014312659160628394,0.9,electronIDNN
1.5,1.8,0.225,0.5,-2,0,0.663315187338737,1.0409541553431825,1.0409541553431825,0.66826390310224,0.66826390310224,0.00018032441096641147,0.00018078558592418638,0.00018078558592418638,5.2503604511024e-05,5.2503604511024e-05,0.0002718532824340787,7.615001334824183e-05,7.615001334824183e-05,0.00015847927187998898,0.00015847927187998898,0.9,electronIDNN
1.5,1.8,0.225,0.5,0,2,0.0,1.0,1.0,1.0,1.0,-3.03982588236885e-05,0.00016664328986339743,0.00016664328986339743,5.2232857414557774e-05,5.2232857414557774e-05,0.00020302262282570436,8.137566964687941e-05,8.137566964687941e-05,0.00011061161975560548,0.00011061161975560548,0.9,electronIDNN
1.5,1.8,0.5,0.766,-2,0,10.167471716602101,2.129680898540245,2.129680898540245,51.35360252399548,51.35360252399548,0.0003258478336117753,0.00018668808753455115,0.00018668808753455115,7.517619709568047e-05,7.517619709568047e-05,3.204806885075569e-05,6.573598477421326e-05,6.573598477421326e-05,9.757951216133938e-06,9.757951216133938e-06,0.9,electronIDNN
1.5,1.8,0.5,0.766,0,2,17.27363976078043,5.492874400144718,5.492874400144718,0.6327388782544787,0.6327388782544787,0.00020533052463424633,0.00017073535011099183,0.00017073535011099183,5.9548643823552366e-05,5.9548643823552366e-05,1.1886928723640894e-05,6.454093577115325e-05,6.454093577115325e-05,3.970839880349825e-05,3.970839880349825e-05,0.9,electronIDNN
