p_min,p_max,cosTheta_min,cosTheta_max,charge_min,charge_max,data_MC_ratio,data_MC_uncertainty_stat_up,data_MC_uncertainty_stat_dn,data_MC_uncertainty_sys_up,data_MC_uncertainty_sys_dn,data_efficiency,data_uncertainty_stat_up,data_uncertainty_stat_dn,data_uncertainty_sys_up,data_uncertainty_sys_dn,MC_efficiency,MC_uncertainty_stat_up,MC_uncertainty_stat_dn,MC_uncertainty_sys_up,MC_uncertainty_sys_dn,threshold,variable
0.3,0.7,-0.866,-0.423,-2,0,1.4684936020722976,0.013080708127579076,0.013080708127579076,0.012084118140098321,0.012084118140098321,0.0054536115551072715,5.581690680079072e-05,5.581690680079072e-05,0.0,0.0,0.003713745533117261,3.0251125925689854e-05,3.0251125925689854e-05,0.0,0.0,0.9,kaonIDNN
0.3,0.7,-0.866,-0.423,0,2,1.2923992442344732,0.013255228903422279,0.013255228903422279,0.01409262635323293,0.01409262635323293,0.005080730971165966,5.418205591547282e-05,5.418205591547282e-05,0.0,0.0,0.003931239509641957,3.0948471294750516e-05,3.0948471294750516e-05,0.0,0.0,0.9,kaonIDNN
0.3,0.7,-0.423,0.0,-2,0,2.1197971678539744,0.024678865680611967,0.024678865680611967,0.07798279114072061,0.07798279114072061,0.0012819091601477815,2.3383561754800452e-05,2.3383561754800452e-05,0.0,0.0,0.0006047319902052477,1.0052112335450083e-05,1.0052112335450083e-05,0.0,0.0,0.9,kaonIDNN
0.3,0.7,-0.423,0.0,0,2,1.7560760329751561,0.029628914900035108,0.029628914900035108,0.11180334668649973,0.11180334668649973,0.000857640953609123,2.0046788572890845e-05,2.0046788572890845e-05,0.0,0.0,0.000488384863470918,8.892266291984849e-06,8.892266291984849e-06,0.0,0.0,0.9,kaonIDNN
0.3,0.7,0.0,0.33,-2,0,1.9331605321395389,0.02367532362757763,0.02367532362757763,0.05389025687576262,0.05389025687576262,0.0016228033818991797,2.8486738297755076e-05,2.8486738297755076e-05,0.0,0.0,0.0008394560901277716,1.3335916610806491e-05,1.3335916610806491e-05,0.0,0.0,0.9,kaonIDNN
0.3,0.7,0.0,0.33,0,2,1.901595907130131,0.026941398170362577,0.026941398170362577,0.0759277936738976,0.0759277936738976,0.0012623881666278618,2.5811649072378877e-05,2.5811649072378877e-05,0.0,0.0,0.0006638572169273572,1.1646336496291138e-05,1.1646336496291138e-05,0.0,0.0,0.9,kaonIDNN
0.3,0.7,0.33,0.66,-2,0,2.112012095674862,0.017426087895759165,0.017426087895759165,0.07454377723072379,0.07454377723072379,0.0022147620193941554,2.852181206418668e-05,2.852181206418668e-05,0.0,0.0,0.0010486502534382794,1.2311011665217345e-05,1.2311011665217345e-05,0.0,0.0,0.9,kaonIDNN
0.3,0.7,0.33,0.66,0,2,1.630487937889471,0.02081565019620162,0.02081565019620162,0.10847742425337258,0.10847742425337258,0.0014791158400489382,2.484888263569502e-05,2.484888263569502e-05,0.0,0.0,0.0009071614733706824,1.1149500861052897e-05,1.1149500861052897e-05,0.0,0.0,0.9,kaonIDNN
0.3,0.7,0.66,0.956,-2,0,1.6697190409787286,0.013224008930301767,0.013224008930301767,0.04865246283326704,0.04865246283326704,0.0046684805983614255,4.718510748758049e-05,4.718510748758049e-05,0.0,0.0,0.0027959677549253626,2.3842837203434166e-05,2.3842837203434166e-05,0.0,0.0,0.9,kaonIDNN
0.3,0.7,0.66,0.956,0,2,1.176775718914947,0.01485685666186484,0.01485685666186484,0.06379788919429547,0.06379788919429547,0.003459042403971671,4.269041768024443e-05,4.269041768024443e-05,0.0,0.0,0.0029394236712847045,2.4311887522893772e-05,2.4311887522893772e-05,0.0,0.0,0.9,kaonIDNN
0.7,1.1,-0.866,-0.423,-2,0,1.3301999541517942,0.022543294454413332,0.022543294454413332,0.016946975757906074,0.016946975757906074,0.0046701716163467764,8.453027431900827e-05,8.453027431900827e-05,0.0,0.0,0.003510879399574724,4.718037019464656e-05,4.718037019464656e-05,0.0,0.0,0.9,kaonIDNN
0.7,1.1,-0.866,-0.423,0,2,1.2519802343407045,0.022718694066175535,0.022718694066175535,0.021596165166476465,0.021596165166476465,0.004313645958071797,7.831651364003398e-05,7.831651364003398e-05,0.0,0.0,0.003445458514241938,4.705491294761635e-05,4.705491294761635e-05,0.0,0.0,0.9,kaonIDNN
0.7,1.1,-0.423,0.0,-2,0,1.3932751631383362,0.05622224853849795,0.05622224853849795,0.1674042215005933,0.1674042215005933,0.0009891421455188354,4.686698772078603e-05,4.686698772078603e-05,0.0,0.0,0.0007099402700115634,2.1485982604788332e-05,2.1485982604788332e-05,0.0,0.0,0.9,kaonIDNN
0.7,1.1,-0.423,0.0,0,2,1.4263582309403173,0.07457611399736089,0.07457611399736089,0.30486831486896787,0.30486831486896787,0.0006343718949069655,4.059966867161099e-05,4.059966867161099e-05,0.0,0.0,0.0004447493491791049,1.7026545226888946e-05,1.7026545226888946e-05,0.0,0.0,0.9,kaonIDNN
0.7,1.1,0.0,0.33,-2,0,1.6720403968560313,0.044044676363013464,0.044044676363013464,0.08595113752371147,0.08595113752371147,0.0018084140422301564,6.186654859330381e-05,6.186654859330381e-05,0.0,0.0,0.001081561214448258,3.0003973513127524e-05,3.0003973513127524e-05,0.0,0.0,0.9,kaonIDNN
0.7,1.1,0.0,0.33,0,2,1.4220611679801782,0.05681960230452135,0.05681960230452135,0.1419303036349708,0.1419303036349708,0.001117062624161993,5.196852224376065e-05,5.196852224376065e-05,0.0,0.0,0.0007855236113004975,2.562452396820405e-05,2.562452396820405e-05,0.0,0.0,0.9,kaonIDNN
0.7,1.1,0.33,0.66,-2,0,1.7153928786468617,0.03572061933522381,0.03572061933522381,0.17100919137791046,0.17100919137791046,0.0016551920528645463,4.7238687212240534e-05,4.7238687212240534e-05,0.0,0.0,0.0009649055172539814,2.0727466008347785e-05,2.0727466008347785e-05,0.0,0.0,0.9,kaonIDNN
0.7,1.1,0.33,0.66,0,2,1.2716489467652805,0.05467414311462742,0.05467414311462742,0.3236016503044017,0.3236016503044017,0.0008681461681340184,4.20248283113e-05,4.20248283113e-05,0.0,0.0,0.0006826932624309088,1.73513058186435e-05,1.73513058186435e-05,0.0,0.0,0.9,kaonIDNN
0.7,1.1,0.66,0.956,-2,0,1.211375280350547,0.01668933755299922,0.01668933755299922,0.07325498730391151,0.07325498730391151,0.0023726000486630015,3.3047475157084506e-05,3.3047475157084506e-05,0.0,0.0,0.0019586003504846326,1.800660898525728e-05,1.800660898525728e-05,0.0,0.0,0.9,kaonIDNN
0.7,1.1,0.66,0.956,0,2,0.9679542782966447,0.01772695373713314,0.01772695373713314,0.08247578298187332,0.08247578298187332,0.0022992739347455055,3.4862136893347426e-05,3.4862136893347426e-05,0.0,0.0,0.002375395187871526,2.1816352885243314e-05,2.1816352885243314e-05,0.0,0.0,0.9,kaonIDNN
1.1,1.5,-0.866,-0.423,-2,0,2.0985518262142824,0.20611032707156202,0.20611032707156202,0.14864177788034494,0.14864177788034494,0.00028548983727567424,4.3180081905080235e-05,4.3180081905080235e-05,0.0,0.0,0.000136041356572398,1.90483044104476e-05,1.90483044104476e-05,0.0,0.0,0.9,kaonIDNN
1.1,1.5,-0.866,-0.423,0,2,0.3818636396016219,0.4544156547517202,0.4544156547517202,0.16334985811333486,0.16334985811333486,5.315103898693324e-05,2.300067808170534e-05,2.300067808170534e-05,0.0,0.0,0.00013918853086505672,1.9300632992175418e-05,1.9300632992175418e-05,0.0,0.0,0.9,kaonIDNN
1.1,1.5,-0.423,0.0,-2,0,0.6532390291425934,0.3752014678782874,0.3752014678782874,0.4593633215355234,0.4593633215355234,0.0001516793332312285,5.442112988840049e-05,5.442112988840049e-05,0.0,0.0,0.00023219576060896834,2.5483836701229785e-05,2.5483836701229785e-05,0.0,0.0,0.9,kaonIDNN
1.1,1.5,-0.423,0.0,0,2,0.9176524325525531,0.2783679826893792,0.2783679826893792,0.42922969821309337,0.42922969821309337,0.0001731819597344953,4.331840533669003e-05,4.331840533669003e-05,0.0,0.0,0.00018872282532153299,2.3053986992143577e-05,2.3053986992143577e-05,0.0,0.0,0.9,kaonIDNN
1.1,1.5,0.0,0.33,-2,0,1.1309687138459308,0.2060158344621975,0.2060158344621975,0.3053470890242421,0.3053470890242421,0.00036895543304785514,6.556256530446842e-05,6.556256530446842e-05,0.0,0.0,0.0003262295663274352,3.400623515820937e-05,3.400623515820937e-05,0.0,0.0,0.9,kaonIDNN
1.1,1.5,0.0,0.33,0,2,1.122579171359793,0.21626878851398362,0.21626878851398362,0.3016343797130099,0.3016343797130099,0.000309031547881019,5.6805303789138514e-05,5.6805303789138514e-05,0.0,0.0,0.00027528708510303604,3.1367556477013584e-05,3.1367556477013584e-05,0.0,0.0,0.9,kaonIDNN
