p_min,p_max,cosTheta_min,cosTheta_max,charge_min,charge_max,data_MC_ratio,data_MC_uncertainty_stat_up,data_MC_uncertainty_stat_dn,data_MC_uncertainty_sys_up,data_MC_uncertainty_sys_dn,data_efficiency,data_uncertainty_stat_up,data_uncertainty_stat_dn,data_uncertainty_sys_up,data_uncertainty_sys_dn,MC_efficiency,MC_uncertainty_stat_up,MC_uncertainty_stat_dn,MC_uncertainty_sys_up,MC_uncertainty_sys_dn,threshold,variable
0.2,0.5,-0.866,-0.423,-2,0,1.3297591285263204,0.002747637822733098,0.002747637822733098,0.005504226832389376,0.005504226832389376,0.09105884617427631,0.00017038199827100505,0.00017038199827100505,0.0,0.0,0.06847769962308174,0.00013778190972823587,0.00013778190972823587,0.0,0.0,0.1,pionIDNN
0.2,0.5,-0.866,-0.423,0,2,1.4469652404383395,0.0025349710208261112,0.0025349710208261112,0.0049365845960453,0.0049365845960453,0.1089693538513289,0.0001828587398149897,0.0001828587398149897,0.0,0.0,0.07530889533899103,0.00014308972791851341,0.00014308972791851341,0.0,0.0,0.1,pionIDNN
0.2,0.5,-0.423,0.0,-2,0,1.319485475010764,0.005252326815156495,0.005252326815156495,0.060670580246518495,0.060670580246518495,0.015497252116385848,6.122681433994645e-05,6.122681433994645e-05,0.0,0.0,0.01174492058448724,4.06482493418459e-05,4.06482493418459e-05,0.0,0.0,0.1,pionIDNN
0.2,0.5,-0.423,0.0,0,2,1.2962284975555864,0.004523177345390774,0.004523177345390774,0.047336206900986104,0.047336206900986104,0.019377531155016916,6.554267232326427e-05,6.554267232326427e-05,0.0,0.0,0.014949163046144144,4.489347113297586e-05,4.489347113297586e-05,0.0,0.0,0.1,pionIDNN
0.2,0.5,0.0,0.5,-2,0,1.5476615750877076,0.004175981239470833,0.004175981239470833,0.05197303536031292,0.05197303536031292,0.019478900873256644,5.7365624985782884e-05,5.7365624985782884e-05,0.0,0.0,0.012586020863219244,3.726336953283944e-05,3.726336953283944e-05,0.0,0.0,0.1,pionIDNN
0.2,0.5,0.0,0.5,0,2,1.3862084886174335,0.00368838616086147,0.00368838616086147,0.04057792338842296,0.04057792338842296,0.022629550611785714,6.075382295823532e-05,6.075382295823532e-05,0.0,0.0,0.016324781443486765,4.1287546558981694e-05,4.1287546558981694e-05,0.0,0.0,0.1,pionIDNN
0.2,0.5,0.5,0.9563,-2,0,1.2284883211838504,0.0037699758291168373,0.0037699758291168373,0.015466723264256192,0.015466723264256192,0.03393249125157523,9.1330794668737e-05,9.1330794668737e-05,0.0,0.0,0.02762133808392716,7.291357557033274e-05,7.291357557033274e-05,0.0,0.0,0.1,pionIDNN
0.2,0.5,0.5,0.9563,0,2,1.2734490163150447,0.0035461185173337024,0.0035461185173337024,0.014554649514801664,0.014554649514801664,0.03739468745889103,9.427472127893141e-05,9.427472127893141e-05,0.0,0.0,0.029364887780980294,7.323081145190491e-05,7.323081145190491e-05,0.0,0.0,0.1,pionIDNN
0.5,1.0,-0.866,-0.423,-2,0,1.016080368471798,0.0027879620315134942,0.0027879620315134942,0.03337738260861187,0.03337738260861187,0.036388246064883084,7.821810345962126e-05,7.821810345962126e-05,0.0,0.0,0.035812369960076695,6.358281025697636e-05,6.358281025697636e-05,0.0,0.0,0.1,pionIDNN
0.5,1.0,-0.866,-0.423,0,2,1.0107199798005917,0.002465300007972098,0.002465300007972098,0.02531211835353868,0.02531211835353868,0.04389166086420003,8.201494250805477e-05,8.201494250805477e-05,0.0,0.0,0.04342613358930489,6.9835441957885e-05,6.9835441957885e-05,0.0,0.0,0.1,pionIDNN
