p_min,p_max,cosTheta_min,cosTheta_max,charge_min,charge_max,data_MC_ratio,data_MC_uncertainty_stat_up,data_MC_uncertainty_stat_dn,data_MC_uncertainty_sys_up,data_MC_uncertainty_sys_dn,data_efficiency,data_uncertainty_stat_up,data_uncertainty_stat_dn,data_uncertainty_sys_up,data_uncertainty_sys_dn,MC_efficiency,MC_uncertainty_stat_up,MC_uncertainty_stat_dn,MC_uncertainty_sys_up,MC_uncertainty_sys_dn,threshold,variable
0.2,0.4,-0.866,-0.423,-2,0,1.0267337037796127,0.008495393346085364,0.008495393346085364,0.06605039972880955,0.06605039972880955,0.9776688344453496,0.0076820820433655445,0.0076820820433655445,0.03696101772907112,0.03696101772907112,0.9522126631728894,0.0030753095390949484,0.0030753095390949484,0.04447884204320596,0.04447884204320596,0.9,kaonIDNN
0.2,0.4,-0.866,-0.423,0,2,1.0301376340348933,0.008478265039946059,0.008478265039946059,0.06922627880845966,0.06922627880845966,0.9792120715592999,0.007677059125436878,0.007677059125436878,0.03870877614052459,0.03870877614052459,0.9505643121918324,0.0030676573229936137,0.0030676573229936137,0.045073901899159385,0.045073901899159385,0.9,kaonIDNN
0.2,0.4,-0.423,-0.1045,-2,0,1.0350428413260357,0.00897152713556733,0.00897152713556733,0.07467136149933296,0.07467136149933296,0.9906905635161046,0.008142794407053427,0.008142794407053427,0.04336766364455469,0.04336766364455469,0.9571493313715308,0.0034419090654729347,0.0034419090654729347,0.04119800370628213,0.04119800370628213,0.9,kaonIDNN
0.2,0.4,-0.423,-0.1045,0,2,1.0269368503056284,0.00884156712928194,0.00884156712928194,0.07004057896649163,0.07004057896649163,0.9754043638579601,0.007887939252071334,0.007887939252071334,0.038337604355322186,0.038337604355322186,0.9498192255615995,0.003395032378929723,0.003395032378929723,0.04840129083756317,0.04840129083756317,0.9,kaonIDNN
0.2,0.4,-0.1045,0.225,-2,0,1.0502789776104975,0.008950730043325684,0.008950730043325684,0.07954613306673142,0.07954613306673142,1.0026871120240928,0.008247208497932585,0.008247208497932585,0.04527841864511384,0.04527841864511384,0.9546864532177141,0.003370352538021842,0.003370352538021842,0.04427847255267692,0.04427847255267692,0.9,kaonIDNN
0.2,0.4,-0.1045,0.225,0,2,1.0301844246620544,0.009141936489984936,0.009141936489984936,0.07360749369058905,0.07360749369058905,0.9913087812195222,0.008333262538327304,0.008333262538327304,0.04274909148742889,0.04274909148742889,0.9622634137035365,0.0034572885802006347,0.0034572885802006347,0.03655020594292213,0.03655020594292213,0.9,kaonIDNN
0.2,0.4,0.225,0.5,-2,0,1.0478614414678962,0.010403416779475528,0.010403416779475528,0.08907694223738494,0.08907694223738494,1.0017193061204437,0.009626241414140839,0.009626241414140839,0.05371272926744397,0.05371272926744397,0.9559654229830097,0.0038100198818486254,0.0038100198818486254,0.04292109755273299,0.04292109755273299,0.9,kaonIDNN
0.2,0.4,0.225,0.5,0,2,1.0440773683825118,0.010402137829038245,0.010402137829038245,0.08577270796804204,0.08577270796804204,0.997071572387106,0.009571140285939004,0.009571140285939004,0.04939944195155965,0.04939944195155965,0.9549786276200706,0.003826933326532272,0.003826933326532272,0.043662719657884486,0.043662719657884486,0.9,kaonIDNN
0.2,0.4,0.5,0.766,-2,0,1.052755638129562,0.01134816056900308,0.01134816056900308,0.10707846899662166,0.10707846899662166,0.9897645684722913,0.01041574817657695,0.01041574817657695,0.06414017436287489,0.06414017436287489,0.9401655356895667,0.00399294079582953,0.00399294079582953,0.05792488834862475,0.05792488834862475,0.9,kaonIDNN
0.2,0.4,0.5,0.766,0,2,1.0580274727751116,0.011900877689741903,0.011900877689741903,0.11600932198300928,0.11600932198300928,0.9897992935340323,0.01102771214539597,0.01102771214539597,0.06913342363212038,0.06913342363212038,0.9355137924139882,0.003913640593955684,0.003913640593955684,0.06267967584468448,0.06267967584468448,0.9,kaonIDNN
