p_min,p_max,cosTheta_min,cosTheta_max,charge_min,charge_max,data_MC_ratio,data_MC_uncertainty_stat_up,data_MC_uncertainty_stat_dn,data_MC_uncertainty_sys_up,data_MC_uncertainty_sys_dn,data_efficiency,data_uncertainty_stat_up,data_uncertainty_stat_dn,data_uncertainty_sys_up,data_uncertainty_sys_dn,MC_efficiency,MC_uncertainty_stat_up,MC_uncertainty_stat_dn,MC_uncertainty_sys_up,MC_uncertainty_sys_dn,threshold,variable
1.5,1.8,-0.866,-0.682,-2,0,1.0356103494096172,0.0044253302934999465,0.0044253302934999465,3.3896825945592244e-06,3.3896825945592244e-06,0.7391704276448763,0.0029048707221650217,0.0029048707221650217,0.0,0.0,0.7137534190019095,0.0014521650596003319,0.0014521650596003319,0.0,0.0,0.9,muonIDNN
1.5,1.8,-0.866,-0.682,0,2,1.0915438382785145,0.007965627471503181,0.007965627471503181,1.3216271520927722e-05,1.3216271520927722e-05,0.7201967920889256,0.005020140145779387,0.005020140145779387,0.0,0.0,0.6597964890029114,0.0025437005640446325,0.0025437005640446325,0.0,0.0,0.9,muonIDNN
1.5,1.8,-0.682,-0.4226,-2,0,1.0177017608526056,0.003762419277757353,0.003762419277757353,3.6803128088105568e-06,3.6803128088105568e-06,0.7489879578729635,0.0025112525297971778,0.0025112525297971778,0.0,0.0,0.7359601669996914,0.0012563428093046863,0.0012563428093046863,0.0,0.0,0.9,muonIDNN
1.5,1.8,-0.682,-0.4226,0,2,1.0252272508972855,0.006069461476775267,0.006069461476775267,8.660501741337195e-06,8.660501741337195e-06,0.6879769138833957,0.003727446710678453,0.003727446710678453,0.0,0.0,0.6710482122683277,0.001835759173017518,0.001835759173017518,0.0,0.0,0.9,muonIDNN
1.5,1.8,-0.4226,-0.1045,-2,0,0.912777530232221,0.002416645635317226,0.002416645635317226,3.814967268381802e-06,3.814967268381802e-06,0.8457648257187292,0.0019456973013412893,0.0019456973013412893,0.0,0.0,0.9265837487296134,0.0006857925045485797,0.0006857925045485797,0.0,0.0,0.9,muonIDNN
1.5,1.8,-0.4226,-0.1045,0,2,0.9067388669989032,0.0029724316190711877,0.0029724316190711877,5.421386355791855e-06,5.421386355791855e-06,0.8384716407243635,0.0023738544268357684,0.0023738544268357684,0.0,0.0,0.9247112605854336,0.0008372774764883942,0.0008372774764883942,0.0,0.0,0.9,muonIDNN
1.5,1.8,-0.1045,0.225,-2,0,0.8993142701010151,0.0024723213230760975,0.0024723213230760975,3.386599220762163e-06,3.386599220762163e-06,0.8496984334898658,0.002023342050548469,0.002023342050548469,0.0,0.0,0.9448292568452449,0.0006281759690898546,0.0006281759690898546,0.0,0.0,0.9,muonIDNN
1.5,1.8,-0.1045,0.225,0,2,0.9018310016565487,0.0026679689153298563,0.0026679689153298563,3.6215764561660853e-06,3.6215764561660853e-06,0.8503561594705937,0.002182396238234043,0.002182396238234043,0.0,0.0,0.9429218533279492,0.0006873599616495178,0.0006873599616495178,0.0,0.0,0.9,muonIDNN
1.5,1.8,0.225,0.5,-2,0,0.8998566326120115,0.00283486866290463,0.00283486866290463,3.485658934748777e-06,3.485658934748777e-06,0.8512098618246732,0.0023251541173277893,0.0023251541173277893,0.0,0.0,0.9459394207651373,0.000717238388086719,0.000717238388086719,0.0,0.0,0.9,muonIDNN
1.5,1.8,0.225,0.5,0,2,0.9016397225933627,0.0027549082710543907,0.0027549082710543907,4.396729329328092e-06,4.396729329328092e-06,0.8515369098976285,0.0022592219407437534,0.0022592219407437534,0.0,0.0,0.9444314492360377,0.0007007411605356421,0.0007007411605356421,0.0,0.0,0.9,muonIDNN
1.5,1.8,0.5,0.766,-2,0,0.9407611684255409,0.002728356098652081,0.002728356098652081,7.1141778769650935e-06,7.1141778769650935e-06,0.8774023548430298,0.0022591541439815756,0.0022591541439815756,0.0,0.0,0.9326515424860184,0.0008415716607570045,0.0008415716607570045,0.0,0.0,0.9,muonIDNN
1.5,1.8,0.5,0.766,0,2,0.9454020929944589,0.0025402823850196616,0.0025402823850196616,4.0560639331008845e-06,4.0560639331008845e-06,0.8573350586475228,0.002035465713394216,0.002035465713394216,0.0,0.0,0.9068470072157411,0.0008193377517085146,0.0008193377517085146,0.0,0.0,0.9,muonIDNN
1.5,1.8,0.766,0.8829,-2,0,0.9889093506348613,0.004686650098385859,0.004686650098385859,7.435484790472563e-06,7.435484790472563e-06,0.8810563944345126,0.003736360574966051,0.003736360574966051,0.0,0.0,0.8909374695151693,0.0017775329213487409,0.0017775329213487409,0.0,0.0,0.9,muonIDNN
1.5,1.8,0.766,0.8829,0,2,0.9879175507554449,0.0033477762534053716,0.0033477762534053716,3.2382717743101207e-06,3.2382717743101207e-06,0.8814929557517114,0.002683374930173818,0.002683374930173818,0.0,0.0,0.8922738087582792,0.0012430842640760963,0.0012430842640760963,0.0,0.0,0.9,muonIDNN
