p_min,p_max,cosTheta_min,cosTheta_max,charge_min,charge_max,data_MC_ratio,data_MC_uncertainty_stat_up,data_MC_uncertainty_stat_dn,data_MC_uncertainty_sys_up,data_MC_uncertainty_sys_dn,data_efficiency,data_uncertainty_stat_up,data_uncertainty_stat_dn,data_uncertainty_sys_up,data_uncertainty_sys_dn,MC_efficiency,MC_uncertainty_stat_up,MC_uncertainty_stat_dn,MC_uncertainty_sys_up,MC_uncertainty_sys_dn,threshold,variable
0.2,0.5,-0.866,-0.55,-2,0,0.9807374161936632,0.0003701980079156179,0.0003701980079156179,0.0001712597299093754,0.0001712597299093754,0.9572404935092006,0.00030584790419267325,0.00030584790419267325,0.0,0.0,0.9760415761686176,0.00018249610001285462,0.00018249610001285462,0.0,0.0,0.1,pionIDNN
0.2,0.5,-0.866,-0.55,0,2,0.9838105060924963,0.0003124419467243949,0.0003124419467243949,0.00012088317458694531,0.00012088317458694531,0.9645317257986283,0.00025507709393980877,0.00025507709393980877,0.0,0.0,0.9804039698961545,0.0001631202037500182,0.0001631202037500182,0.0,0.0,0.1,pionIDNN
0.2,0.5,-0.55,-0.25,-2,0,1.3230201436695457,0.0009405742100334938,0.0009405742100334938,0.023879066064752753,0.023879066064752753,0.5203557542719666,0.00034648067278392056,0.00034648067278392056,0.0,0.0,0.393309018582817,0.000261282445985527,0.000261282445985527,0.0,0.0,0.1,pionIDNN
0.2,0.5,-0.55,-0.25,0,2,1.3235203739617132,0.0009381592834698324,0.0009381592834698324,0.025989592895717027,0.025989592895717027,0.5047281921708919,0.00033673706493153875,0.00033673706493153875,0.0,0.0,0.3813527937315249,0.00025152912406473164,0.00025152912406473164,0.0,0.0,0.1,pionIDNN
0.2,0.5,-0.25,0.0,-2,0,1.3460915663511077,0.0016514995095881,0.0016514995095881,0.08011360670647871,0.08011360670647871,0.32511417102261914,0.00040998666901601515,0.00040998666901601515,0.0,0.0,0.24152455832103328,0.00025755990557888584,0.00025755990557888584,0.0,0.0,0.1,pionIDNN
0.2,0.5,-0.25,0.0,0,2,1.3135426608875251,0.0015912814689147481,0.0015912814689147481,0.07857449194546208,0.07857449194546208,0.3219877391451312,0.0003931164838928743,0.0003931164838928743,0.0,0.0,0.24512925901285368,0.00025017207725439884,0.00025017207725439884,0.0,0.0,0.1,pionIDNN
0.2,0.5,0.0,0.25,-2,0,1.3883493838565528,0.0015349440056153898,0.0015349440056153898,0.06979790919227348,0.06979790919227348,0.34545254580993795,0.0003927188717080728,0.0003927188717080728,0.0,0.0,0.24882248649136207,0.00025662314822849067,0.00025662314822849067,0.0,0.0,0.1,pionIDNN
0.2,0.5,0.0,0.25,0,2,1.3457270864061721,0.001479989677832779,0.001479989677832779,0.06871110023863558,0.06871110023863558,0.3437383076529317,0.0003820516211672082,0.0003820516211672082,0.0,0.0,0.2554294337426923,0.0002496193275090167,0.0002496193275090167,0.0,0.0,0.1,pionIDNN
0.2,0.5,0.25,0.5,-2,0,1.3914995539658186,0.0010866946548562487,0.0010866946548562487,0.03055941352255616,0.03055941352255616,0.45695006243181574,0.0003407968315228502,0.0003407968315228502,0.0,0.0,0.3283867832580279,0.00025954530703317327,0.00025954530703317327,0.0,0.0,0.1,pionIDNN
0.2,0.5,0.25,0.5,0,2,1.324552985821739,0.0010576343416391855,0.0010576343416391855,0.031866869755140075,0.031866869755140075,0.4463062291560437,0.0003369876516296482,0.0003369876516296482,0.0,0.0,0.33694856599425493,0.0002495412764216524,0.0002495412764216524,0.0,0.0,0.1,pionIDNN
