p_min,p_max,cosTheta_min,cosTheta_max,charge_min,charge_max,data_MC_ratio,data_MC_uncertainty_stat_up,data_MC_uncertainty_stat_dn,data_MC_uncertainty_sys_up,data_MC_uncertainty_sys_dn,data_efficiency,data_uncertainty_stat_up,data_uncertainty_stat_dn,data_uncertainty_sys_up,data_uncertainty_sys_dn,MC_efficiency,MC_uncertainty_stat_up,MC_uncertainty_stat_dn,MC_uncertainty_sys_up,MC_uncertainty_sys_dn,threshold,variable
0.3,1.0,-0.866,-0.4226,-2,0,3.2585970128275337,0.014018598811778402,0.014018598811778402,0.14654205357658956,0.14654205357658956,0.011930402084425588,7.583938290592783e-05,7.583938290592783e-05,0.0002778480363346287,0.0002778480363346287,0.003661208194036058,4.5744886648387585e-05,4.5744886648387585e-05,0.001754043439724606,0.001754043439724606,0.9,electronIDNN
0.3,1.0,-0.866,-0.4226,0,2,2.9675253758529245,0.013970227101695324,0.013970227101695324,0.1463017560345472,0.1463017560345472,0.011779644037642258,8.029356164577596e-05,8.029356164577596e-05,0.00035252293168995356,0.00035252293168995356,0.00396951754262811,4.8406200201809866e-05,4.8406200201809866e-05,0.0025744646559424655,0.0025744646559424655,0.9,electronIDNN
0.3,1.0,-0.4226,0.225,-2,0,4.307967243913735,0.03603883379360889,0.03603883379360889,0.7838568939900732,0.7838568939900732,0.003088093653054612,3.172753451470074e-05,3.172753451470074e-05,0.00028851503502501114,0.00028851503502501114,0.000716833132242927,2.4761780145371067e-05,2.4761780145371067e-05,0.0003804777581224139,0.0003804777581224139,0.9,electronIDNN
0.3,1.0,-0.4226,0.225,0,2,4.800803476500601,0.031197934376345965,0.031197934376345965,0.8504980691534771,0.8504980691534771,0.004073875347214942,3.445731021106985e-05,3.445731021106985e-05,0.0003172425943188872,0.0003172425943188872,0.0008485819857355355,2.548249998916235e-05,2.548249998916235e-05,0.00038878388046097927,0.00038878388046097927,0.9,electronIDNN
0.3,1.0,0.225,0.766,-2,0,3.4144207031998994,0.015841653937779136,0.015841653937779136,0.31152212180559014,0.31152212180559014,0.005196749764291081,3.0877571516832546e-05,3.0877571516832546e-05,0.00021001025828853732,0.00021001025828853732,0.001522000425847006,2.2350828947463017e-05,2.2350828947463017e-05,0.0003459779507789054,0.0003459779507789054,0.9,electronIDNN
0.3,1.0,0.225,0.766,0,2,3.6552202418485185,0.01717674243193642,0.01717674243193642,0.3760414999485313,0.3760414999485313,0.005088821610337003,3.111484063982405e-05,3.111484063982405e-05,0.0002216943934675178,0.0002216943934675178,0.0013922065631162852,2.2347200629875938e-05,2.2347200629875938e-05,0.0004077669481527919,0.0004077669481527919,0.9,electronIDNN
0.3,1.0,0.766,0.9563,-2,0,4.252066937390809,0.027126950361156345,0.027126950361156345,0.5613775977657243,0.5613775977657243,0.006421636976663699,6.113450848445563e-05,6.113450848445563e-05,0.00019660612453850472,0.00019660612453850472,0.0015102389193816883,3.8362431374930395e-05,3.8362431374930395e-05,0.0010869597518777545,0.0010869597518777545,0.9,electronIDNN
0.3,1.0,0.766,0.9563,0,2,4.619374879679302,0.02914798071447678,0.02914798071447678,0.6814706556470376,0.6814706556470376,0.0062634941923003905,5.950278285077369e-05,5.950278285077369e-05,0.000205358515910011,0.000205358515910011,0.001355918139455101,3.7364243492796154e-05,3.7364243492796154e-05,0.001187787331974653,0.001187787331974653,0.9,electronIDNN
1.0,1.5,-0.866,-0.4226,-2,0,3.4496257735763614,0.07908238578228514,0.07908238578228514,0.2654008735246238,0.2654008735246238,0.0034563900035592373,0.000136114658192876,0.000136114658192876,0.0003216164307806636,0.0003216164307806636,0.0010019608590690298,6.871430707570878e-05,6.871430707570878e-05,0.0001146521850018755,0.0001146521850018755,0.9,electronIDNN
1.0,1.5,-0.866,-0.4226,0,2,3.627212576255813,0.0629346805924355,0.0629346805924355,0.4692786330418044,0.4692786330418044,0.005300419171923169,0.00018469221747437076,0.00018469221747437076,0.0006243688897606108,0.0006243688897606108,0.0014612926759849632,7.658361080247738e-05,7.658361080247738e-05,0.00020540182094291718,0.00020540182094291718,0.9,electronIDNN
