p_min,p_max,cosTheta_min,cosTheta_max,charge_min,charge_max,data_MC_ratio,data_MC_uncertainty_stat_up,data_MC_uncertainty_stat_dn,data_MC_uncertainty_sys_up,data_MC_uncertainty_sys_dn,data_efficiency,data_uncertainty_stat_up,data_uncertainty_stat_dn,data_uncertainty_sys_up,data_uncertainty_sys_dn,MC_efficiency,MC_uncertainty_stat_up,MC_uncertainty_stat_dn,MC_uncertainty_sys_up,MC_uncertainty_sys_dn,threshold,variable
0.3,0.8,-0.866,-0.4226,-2,0,4.154709373707651,0.024597801155965205,0.024597801155965205,0.25456191454847454,0.25456191454847454,0.008805661570190353,8.192573993056726e-05,8.192573993056726e-05,0.00025864384296967087,0.00025864384296967087,0.002119441043437463,4.8260557651433564e-05,4.8260557651433564e-05,0.00024590701085496327,0.00024590701085496327,0.9,electronIDNN
0.3,0.8,-0.866,-0.4226,0,2,4.174759720204498,0.029292571104346986,0.029292571104346986,0.30639890133814607,0.30639890133814607,0.007345183957450397,7.788929222340125e-05,7.788929222340125e-05,0.00028846078197610706,0.00028846078197610706,0.0017594267574016448,4.8042568553370276e-05,4.8042568553370276e-05,0.00019814163913864304,0.00019814163913864304,0.9,electronIDNN
0.3,0.8,-0.4226,0.0,-2,0,5.931271877560033,0.08472761909998258,0.08472761909998258,1.8507972074205412,1.8507972074205412,0.0024604011713848795,4.3630186238873086e-05,4.3630186238873086e-05,0.0003089161052600019,0.0003089161052600019,0.00041481847775236746,3.436818453336675e-05,3.436818453336675e-05,0.00026901244416023627,0.00026901244416023627,0.9,electronIDNN
0.3,0.8,-0.4226,0.0,0,2,6.019193499946331,0.07182000632442088,0.07182000632442088,1.7757162653573237,1.7757162653573237,0.003007429723343218,4.592461826632814e-05,4.592461826632814e-05,0.000332354640931233,0.000332354640931233,0.0004996399805671695,3.506365225261673e-05,3.506365225261673e-05,0.0001932463134464074,0.0001932463134464074,0.9,electronIDNN
0.3,0.8,0.0,0.33,-2,0,4.468899487848901,0.04947414176974234,0.04947414176974234,0.8820074730153702,0.8820074730153702,0.0032648524421517847,4.5215076298944816e-05,4.5215076298944816e-05,0.00030339163497679605,0.00030339163497679605,0.0007305719117265976,3.4699433814363895e-05,3.4699433814363895e-05,0.0001845204516455036,0.0001845204516455036,0.9,electronIDNN
0.3,0.8,0.0,0.33,0,2,5.950922204783942,0.054254306094447244,0.054254306094447244,1.3880359112810536,1.3880359112810536,0.003965360210229513,4.815590663431374e-05,4.815590663431374e-05,0.0003186571401364059,0.0003186571401364059,0.0006663438159285232,3.523471788248888e-05,3.523471788248888e-05,0.00018728496723917094,0.00018728496723917094,0.9,electronIDNN
0.3,0.8,0.33,0.66,-2,0,3.6839588114927313,0.024118787766811034,0.024118787766811034,0.3980747022905371,0.3980747022905371,0.005087074743118889,4.335907033480892e-05,4.335907033480892e-05,0.000217480761543579,0.000217480761543579,0.0013808717750179238,3.1155965726562265e-05,3.1155965726562265e-05,0.00019699633265416385,0.00019699633265416385,0.9,electronIDNN
0.3,0.8,0.33,0.66,0,2,3.8826753809779047,0.026538682852760762,0.026538682852760762,0.4802933533519549,0.4802933533519549,0.004798449631334967,4.305448785713859e-05,4.305448785713859e-05,0.00022916994516352773,0.00022916994516352773,0.001235861657362252,3.0866728964571464e-05,3.0866728964571464e-05,0.00019800280073996746,0.00019800280073996746,0.9,electronIDNN
0.3,0.8,0.66,0.9563,-2,0,4.257585813552493,0.023692571953920286,0.023692571953920286,0.48432791467463465,0.48432791467463465,0.006265984353796038,4.980936463012246e-05,4.980936463012246e-05,0.00016886762855086463,0.00016886762855086463,0.0014717223863933713,3.284773220569988e-05,3.284773220569988e-05,0.00020349007091962365,0.00020349007091962365,0.9,electronIDNN
0.3,0.8,0.66,0.9563,0,2,4.4808713774192075,0.025791386867767618,0.025791386867767618,0.5580625464752074,0.5580625464752074,0.005892068282932436,4.836626344797989e-05,4.836626344797989e-05,0.00017136718999619278,0.00017136718999619278,0.0013149380525905696,3.21505113430483e-05,3.21505113430483e-05,0.00019301473728661873,0.00019301473728661873,0.9,electronIDNN
0.8,1.3,-0.866,-0.4226,-2,0,2.693853432546919,0.07727377376797044,0.07727377376797044,0.18768075867998135,0.18768075867998135,0.002261306073748919,8.111192412637973e-05,8.111192412637973e-05,9.408204483655862e-05,9.408204483655862e-05,0.0008394317398370684,5.745427301650527e-05,5.745427301650527e-05,4.693183090889166e-05,4.693183090889166e-05,0.9,electronIDNN
