p_min,p_max,cosTheta_min,cosTheta_max,charge_min,charge_max,data_MC_ratio,data_MC_uncertainty_stat_up,data_MC_uncertainty_stat_dn,data_MC_uncertainty_sys_up,data_MC_uncertainty_sys_dn,data_efficiency,data_uncertainty_stat_up,data_uncertainty_stat_dn,data_uncertainty_sys_up,data_uncertainty_sys_dn,MC_efficiency,MC_uncertainty_stat_up,MC_uncertainty_stat_dn,MC_uncertainty_sys_up,MC_uncertainty_sys_dn,threshold,variable
0.0,0.2,-0.866,-0.423,-2,0,0.9754620972594108,0.0011529223253320183,0.0011529223253320183,0.006333034298261264,0.006333034298261264,0.939878896386905,0.0008687547355653462,0.0008687547355653462,0.001120167664672489,0.001120167664672489,0.9635216981034139,0.0006639572526799297,0.0006639572526799297,0.09264332269090225,0.09264332269090225,0.1,pionIDNN
0.0,0.2,-0.866,-0.423,0,2,0.9848899392638353,0.001119071148509367,0.001119071148509367,0.0048597842528954605,0.0048597842528954605,0.945709039285323,0.0008221493440501109,0.0008221493440501109,0.00266734493997145,0.00266734493997145,0.960217991456184,0.000676634201791001,0.000676634201791001,0.09620644835650372,0.09620644835650372,0.1,pionIDNN
0.0,0.2,-0.423,-0.1045,-2,0,0.9734513338890124,0.0009797190476450099,0.0009797190476450099,0.01626393546206406,0.01626393546206406,0.9119595015918063,0.0007171422895096618,0.0007171422895096618,0.011890244504939695,0.011890244504939695,0.9368311181499526,0.0005474361527761671,0.0005474361527761671,0.04906832160306818,0.04906832160306818,0.1,pionIDNN
0.0,0.2,-0.423,-0.1045,0,2,0.9890443680523776,0.0008505168004636212,0.0008505168004636212,0.014443760654847204,0.014443760654847204,0.9344263737089189,0.000604504951467915,0.000604504951467915,0.010372705069734756,0.010372705069734756,0.9447770028244413,0.0005216548835272834,0.0005216548835272834,0.04633370224730826,0.04633370224730826,0.1,pionIDNN
0.0,0.2,-0.1045,0.225,-2,0,0.9323773213786246,0.0014837399316956163,0.0014837399316956163,0.030958467667946188,0.030958467667946188,0.8204942997244979,0.0010075890629332221,0.0010075890629332221,0.022051600075560618,0.022051600075560618,0.8800024205986745,0.0007328017157129265,0.0007328017157129265,0.09509768445763123,0.09509768445763123,0.1,pionIDNN
0.0,0.2,-0.1045,0.225,0,2,0.9716280969712897,0.0012115036096710574,0.0012115036096710574,0.026224784612859486,0.026224784612859486,0.8747483317517999,0.0008279255009024853,0.0008279255009024853,0.018450903051239087,0.018450903051239087,0.9002913094820142,0.0006808549317180689,0.0006808549317180689,0.09217175017290591,0.09217175017290591,0.1,pionIDNN
0.0,0.2,0.225,0.5,-2,0,0.9672893987252633,0.0010298290997991092,0.0010298290997991092,0.01397581928669378,0.01397581928669378,0.9120312073747147,0.0007694560673833793,0.0007694560673833793,0.009797274638962072,0.009797274638962072,0.9428731552073554,0.0005568254053596795,0.0005568254053596795,0.046905276157905296,0.046905276157905296,0.1,pionIDNN
0.0,0.2,0.225,0.5,0,2,0.9886956264012059,0.0008227632785616628,0.0008227632785616628,0.011183070921613747,0.011183070921613747,0.943121604176266,0.0005977171661451725,0.0005977171661451725,0.007541858401668434,0.007541858401668434,0.9539049015612351,0.0005004881282295537,0.0005004881282295537,0.04281332109637759,0.04281332109637759,0.1,pionIDNN
0.0,0.2,0.5,0.766,-2,0,0.9632058433453519,0.0012497606053639824,0.0012497606053639824,0.010700906178513825,0.010700906178513825,0.9143521966536241,0.0009149248832070677,0.0009149248832070677,0.004396212043511927,0.004396212043511927,0.9492801595533805,0.0007107874369376027,0.0007107874369376027,0.06634921947079919,0.06634921947079919,0.1,pionIDNN
0.0,0.2,0.5,0.766,0,2,0.9815269230759887,0.0011228332242405907,0.0011228332242405907,0.010846836451871011,0.010846836451871011,0.93309081955411,0.0007979561406086166,0.0007979561406086166,0.004821269769448189,0.004821269769448189,0.9506522924811011,0.0006917129283846994,0.0006917129283846994,0.06520505229074969,0.06520505229074969,0.1,pionIDNN
