p_min,p_max,cosTheta_min,cosTheta_max,charge_min,charge_max,data_MC_ratio,data_MC_uncertainty_stat_up,data_MC_uncertainty_stat_dn,data_MC_uncertainty_sys_up,data_MC_uncertainty_sys_dn,data_efficiency,data_uncertainty_stat_up,data_uncertainty_stat_dn,data_uncertainty_sys_up,data_uncertainty_sys_dn,MC_efficiency,MC_uncertainty_stat_up,MC_uncertainty_stat_dn,MC_uncertainty_sys_up,MC_uncertainty_sys_dn,threshold,variable
0.2,0.5,-0.866,-0.423,-2,0,3.116954635201113,0.045781341904655694,0.045781341904655694,0.7334969481133102,0.7334969481133102,0.004961069894063449,8.677190806392658e-05,8.677190806392658e-05,0.0012881635506864436,0.0012881635506864436,0.0015916400700978922,6.733994683776898e-05,6.733994683776898e-05,0.004945014918829568,0.004945014918829568,0.9,kaonIDNN
0.2,0.5,-0.866,-0.423,0,2,2.488614794329447,0.03981116726787763,0.03981116726787763,0.46336320446199775,0.46336320446199775,0.005032775752731559,9.01792830044903e-05,9.01792830044903e-05,0.0014076508377386333,0.0014076508377386333,0.002022320113261093,7.189511617295667e-05,7.189511617295667e-05,0.005319298401255498,0.005319298401255498,0.9,kaonIDNN
0.2,0.5,-0.423,0.225,-2,0,1.7273343626684872,0.007402006378478192,0.007402006378478192,0.07586326878702931,0.07586326878702931,0.016256245750505112,7.259066700027101e-05,7.259066700027101e-05,0.0013322278996674153,0.0013322278996674153,0.009411174872588949,5.5557734254029157e-05,5.5557734254029157e-05,0.010340478149119587,0.010340478149119587,0.9,kaonIDNN
0.2,0.5,-0.423,0.225,0,2,1.6410920709284686,0.008025496512975877,0.008025496512975877,0.07526651179078914,0.07526651179078914,0.01442971678183002,7.112728373545138e-05,7.112728373545138e-05,0.0012952616955075914,0.0012952616955075914,0.008792752726948601,5.568760700973414e-05,5.568760700973414e-05,0.009667336045552774,0.009667336045552774,0.9,kaonIDNN
0.2,0.5,0.225,0.766,-2,0,1.5701582620298475,0.00975803161819421,0.00975803161819421,0.08384598573910207,0.08384598573910207,0.00855483830799013,5.23846320766774e-05,5.23846320766774e-05,0.0008168666662130633,0.0008168666662130633,0.005448392378568721,4.13946057297281e-05,4.13946057297281e-05,0.006801287518633935,0.006801287518633935,0.9,kaonIDNN
0.2,0.5,0.225,0.766,0,2,1.485560918878571,0.010520279055603286,0.010520279055603286,0.07799187511947636,0.07799187511947636,0.0076541202487799475,5.1765690680626925e-05,5.1765690680626925e-05,0.0008294688140853138,0.0008294688140853138,0.005152343570372015,4.151924415403842e-05,4.151924415403842e-05,0.006497185939912928,0.006497185939912928,0.9,kaonIDNN
0.2,0.5,0.766,0.8829,-2,0,1.701382337701942,0.025798754230825664,0.025798754230825664,0.14667366438113105,0.14667366438113105,0.007048358827974609,0.00010701076023997886,0.00010701076023997886,0.0008032884522481071,0.0008032884522481071,0.00414272481369169,8.641047676068962e-05,8.641047676068962e-05,0.00788808168131883,0.00788808168131883,0.9,kaonIDNN
0.2,0.5,0.766,0.8829,0,2,1.5053562435151011,0.029178327375963032,0.029178327375963032,0.12523538977389315,0.12523538977389315,0.005584078734210863,0.00010111744391255171,0.00010111744391255171,0.0007668662024567395,0.0007668662024567395,0.003709473261406675,8.487068819115718e-05,8.487068819115718e-05,0.007468190674253131,0.007468190674253131,0.9,kaonIDNN
0.2,0.5,0.8829,0.9563,-2,0,2.1144395685383874,0.03131261618845481,0.03131261618845481,0.2602530646402619,0.2602530646402619,0.023555305825774916,0.0003853871568422403,0.0003853871568422403,0.004044339446154774,0.004044339446154774,0.011140212364668141,0.00029742474390205407,0.00029742474390205407,0.04461965190231999,0.04461965190231999,0.9,kaonIDNN
0.2,0.5,0.8829,0.9563,0,2,1.5993686447047988,0.039226274194472235,0.039226274194472235,0.16328051982613068,0.16328051982613068,0.01368650909365419,0.0003219626129704639,0.0003219626129704639,0.003355361829646712,0.003355361829646712,0.008557444926138563,0.00026861627137947906,0.00026861627137947906,0.03941744229339096,0.03941744229339096,0.9,kaonIDNN
0.5,1.1,-0.866,-0.423,-2,0,2.0422380457908877,0.019884977182829125,0.019884977182829125,0.09171236716530617,0.09171236716530617,0.010639771141475813,0.00010458258704303018,0.00010458258704303018,0.0006587152934782754,0.0006587152934782754,0.005209858450832748,9.005601265099293e-05,9.005601265099293e-05,0.0035969158295290774,0.0035969158295290774,0.9,kaonIDNN
0.5,1.1,-0.866,-0.423,0,2,2.0814203231167876,0.022851556872072562,0.022851556872072562,0.12918225212326218,0.12918225212326218,0.009623582707423263,0.00010584934409159182,0.00010584934409159182,0.0006700417626811991,0.0006700417626811991,0.004623565264805617,9.261183131521632e-05,9.261183131521632e-05,0.0033659135584637396,0.0033659135584637396,0.9,kaonIDNN
0.5,1.1,-0.423,0.225,-2,0,3.869553419462558,0.021091104784819042,0.021091104784819042,0.534029052077039,0.534029052077039,0.011759245461985684,7.459010281456371e-05,7.459010281456371e-05,0.0008637027011752107,0.0008637027011752107,0.0030389153959835824,6.112676514236972e-05,6.112676514236972e-05,0.0036419752120416147,0.0036419752120416147,0.9,kaonIDNN
0.5,1.1,-0.423,0.225,0,2,4.09647746923206,0.028515382642765263,0.028515382642765263,0.8045694580892238,0.8045694580892238,0.009361900391653197,7.34981688197865e-05,7.34981688197865e-05,0.0008790146118927526,0.0008790146118927526,0.0022853538099425245,6.264923007907334e-05,6.264923007907334e-05,0.003504473907030367,0.003504473907030367,0.9,kaonIDNN
