p_min,p_max,cosTheta_min,cosTheta_max,charge_min,charge_max,data_MC_ratio,data_MC_uncertainty_stat_up,data_MC_uncertainty_stat_dn,data_MC_uncertainty_sys_up,data_MC_uncertainty_sys_dn,data_efficiency,data_uncertainty_stat_up,data_uncertainty_stat_dn,data_uncertainty_sys_up,data_uncertainty_sys_dn,MC_efficiency,MC_uncertainty_stat_up,MC_uncertainty_stat_dn,MC_uncertainty_sys_up,MC_uncertainty_sys_dn,threshold,variable
0.5,0.7,-0.866,-0.682,-2,0,0.7279302984876599,0.049498371736928004,0.049498371736928004,0.01678048516356523,0.01678048516356523,0.002743735287578726,0.00010731875348068578,0.00010731875348068578,5.477296756465624e-05,5.477296756465624e-05,0.0037692280336167915,0.00011433725071974038,0.00011433725071974038,0.00011242505277413032,0.00011242505277413032,0.9,muonIDNN
0.5,0.7,-0.866,-0.682,0,2,0.7783848039138183,0.05983058780414087,0.05983058780414087,0.047133508379595734,0.047133508379595734,0.0023510662894769005,0.00011495610124190608,0.00011495610124190608,0.0001246670800952505,0.0001246670800952505,0.0030204421741732864,0.00010414826563520782,0.00010414826563520782,0.00010845401282587666,0.00010845401282587666,0.9,muonIDNN
0.5,0.7,-0.682,-0.4226,-2,0,0.6218846011396667,0.02445231187478282,0.02445231187478282,0.0019774608830437357,0.0019774608830437357,0.004808024671406832,9.213457361256544e-05,9.213457361256544e-05,2.258013621380967e-05,2.258013621380967e-05,0.007731377594163996,0.0001174324147805417,0.0001174324147805417,0.00010377974225743349,0.00010377974225743349,0.9,muonIDNN
0.5,0.7,-0.682,-0.4226,0,2,0.7115763475620195,0.02209230968973879,0.02209230968973879,0.0012249003728159735,0.0012249003728159735,0.0062696435157067135,0.00010592253579277089,0.00010592253579277089,1.1895068753323829e-05,1.1895068753323829e-05,0.008810921747452075,0.00012542673859130727,0.00012542673859130727,0.0001242578855335623,0.0001242578855335623,0.9,muonIDNN
0.5,0.7,-0.4226,-0.1045,-2,0,0.9550521849580008,0.012769304606505287,0.012769304606505287,0.0006864184722612521,0.0006864184722612521,0.0145021340664886,0.00013132395185756394,0.00013132395185756394,9.901708596382966e-05,9.901708596382966e-05,0.015184650948813171,0.00013670674182158853,0.00013670674182158853,0.00028123922595462043,0.00028123922595462043,0.9,muonIDNN
0.5,0.7,-0.4226,-0.1045,0,2,1.0679126229344396,0.013094998608999358,0.013094998608999358,0.0012730371733704615,0.0012730371733704615,0.01494775635870689,0.0001350952842071735,0.0001350952842071735,9.491546844737735e-05,9.491546844737735e-05,0.013997171713948877,0.0001326387038952005,0.0001326387038952005,0.00013316629407554743,0.00013316629407554743,0.9,muonIDNN
0.5,0.7,-0.1045,0.225,-2,0,0.703070956281536,0.012567714573491305,0.012567714573491305,0.0016227825269296003,0.0016227825269296003,0.010059721663733139,9.654424498311762e-05,9.654424498311762e-05,8.495289982035982e-05,8.495289982035982e-05,0.01430825946350833,0.00011610246600968808,0.00011610246600968808,0.0004261368110266197,0.0004261368110266197,0.9,muonIDNN
0.5,0.7,-0.1045,0.225,0,2,0.8258823284226989,0.013181441608711575,0.013181441608711575,0.0016537946524954883,0.0016537946524954883,0.01006581181799346,9.770359448822766e-05,9.770359448822766e-05,9.719824387487662e-05,9.719824387487662e-05,0.012187949144301859,0.00010869482115669116,0.00010869482115669116,9.941429974573597e-05,9.941429974573597e-05,0.9,muonIDNN
0.5,0.7,0.225,0.5,-2,0,0.7176475680099675,0.012122426417300994,0.012122426417300994,0.001613051570858559,0.001613051570858559,0.00991348035045588,9.16129780774445e-05,9.16129780774445e-05,6.780727934621589e-05,6.780727934621589e-05,0.013813856260874544,0.00010837713630068182,0.00010837713630068182,0.0005899052962423015,0.0005899052962423015,0.9,muonIDNN
0.5,0.7,0.225,0.5,0,2,0.82523615075792,0.012643051016434174,0.012643051016434174,0.000285703157975159,0.000285703157975159,0.009890468434785141,9.226765577374022e-05,9.226765577374022e-05,6.107076951940987e-05,6.107076951940987e-05,0.011985015956585831,0.00010227193195617542,0.00010227193195617542,0.00026586584001675115,0.00026586584001675115,0.9,muonIDNN
