p_min,p_max,cosTheta_min,cosTheta_max,data_MC_ratio,data_MC_ratio_err
0.0000,0.5000,-1.0000,-0.6000,0.5000,0.5000
0.0000,0.5000,-0.6000,-0.3000,0.8783,0.1248
0.0000,0.5000,-0.3000,0.0000,0.8472,0.0949
0.0000,0.5000,0.0000,0.3000,0.7849,0.0299
0.0000,0.5000,0.3000,0.6000,0.8589,0.0481
0.0000,0.5000,0.6000,0.8000,0.8855,0.0629
0.0000,0.5000,0.8000,1.0000,0.9525,0.1193
0.5000,1.0000,-1.0000,-0.6000,0.6907,0.0223
0.5000,1.0000,-0.6000,-0.3000,0.8593,0.0328
0.5000,1.0000,-0.3000,0.0000,0.9648,0.0270
0.5000,1.0000,0.0000,0.3000,0.9618,0.0327
0.5000,1.0000,0.3000,0.6000,0.9815,0.0181
0.5000,1.0000,0.6000,0.8000,0.9479,0.0190
0.5000,1.0000,0.8000,1.0000,0.9093,0.0367
1.0000,1.5000,-1.0000,-0.6000,0.6481,0.0164
1.0000,1.5000,-0.6000,-0.3000,0.9045,0.0254
1.0000,1.5000,-0.3000,0.0000,0.9875,0.0184
1.0000,1.5000,0.0000,0.3000,0.9977,0.0177
1.0000,1.5000,0.3000,0.6000,0.9794,0.0208
1.0000,1.5000,0.6000,0.8000,0.9567,0.0211
1.0000,1.5000,0.8000,1.0000,0.8676,0.0219
1.5000,2.0000,-1.0000,-0.6000,0.5866,0.0503
1.5000,2.0000,-0.6000,-0.3000,0.9158,0.0303
1.5000,2.0000,-0.3000,0.0000,0.9841,0.0216
1.5000,2.0000,0.0000,0.3000,0.9752,0.0256
1.5000,2.0000,0.3000,0.6000,0.9792,0.0208
1.5000,2.0000,0.6000,0.8000,0.9671,0.0219
1.5000,2.0000,0.8000,1.0000,0.8919,0.0234
2.0000,2.5000,-1.0000,-0.6000,0.6831,0.0586
2.0000,2.5000,-0.6000,-0.3000,0.9204,0.0326
2.0000,2.5000,-0.3000,0.0000,0.9689,0.0271
2.0000,2.5000,0.0000,0.3000,0.9677,0.0338
2.0000,2.5000,0.3000,0.6000,0.9795,0.0231
2.0000,2.5000,0.6000,0.8000,0.9615,0.0223
2.0000,2.5000,0.8000,1.0000,0.8942,0.0270
2.5000,3.0000,-1.0000,-0.6000,0.6720,0.0274
2.5000,3.0000,-0.6000,-0.3000,0.9412,0.0275
2.5000,3.0000,-0.3000,0.0000,0.9796,0.0218
2.5000,3.0000,0.0000,0.3000,0.9784,0.0219
2.5000,3.0000,0.3000,0.6000,0.9694,0.0220
2.5000,3.0000,0.6000,0.8000,0.9487,0.0287
2.5000,3.0000,0.8000,1.0000,0.8705,0.0303
3.0000,10.0000,-1.0000,-0.6000,0.6536,0.0330
3.0000,10.0000,-0.6000,-0.3000,0.9627,0.0249
3.0000,10.0000,-0.3000,0.0000,0.9875,0.0216
3.0000,10.0000,0.0000,0.3000,0.9904,0.0198
3.0000,10.0000,0.3000,0.6000,0.9753,0.0193
3.0000,10.0000,0.6000,0.8000,0.9595,0.0193
3.0000,10.0000,0.8000,1.0000,0.9013,0.0165
